Sportsgren,Kategori,Form,Sted,Beskrivelse,Medlem2017,Medlem2018,Fans
Rulleskøjte løb,"Løb, fitness og styrke",Individuel,Udendørs,løb på rulleskøjter eller inline skøjter; 4 hjul på række,,,
Sejlsport og sejlads,Vandsport,Både hold og individuel,Udendørs,"vandsport, mange forskellige klasser og discipliner",,52199,
Skateboarding,"Løb, fitness og styrke",Individuel,Begge,"idræt og motion, action sport med tricks på rullebræt, 4 hjul",,,
Skiskydning (biatlon),Vintersport og is,Individuel,Udendørs,multisport med langrend og præcisionsskydning,,,
Skydning,Præcision og spil,Individuel,Begge,"sport, skydning, flere typer våben",,,
Skøjteløb,Vintersport og is,Individuel,Begge,"hurtigløb på is med særlige hurtigløbs-skøjter, sport",,,
Snowboard,Vintersport og is,Individuel,Udendørs,"skisport på et bredt bræt (nedad, downhill), flere discipliner",,,
Softball,Bold- og ketchersport,Hold,Udendørs,"boldspil, idræt, med bat og læderbold, ligner rundbold",814,,
Spinning,"Løb, fitness og styrke",Både hold og individuel,Indendørs,"motion og træning, intensiv indendørs cykling på stationære cykler",,,
Squash,Bold- og ketchersport,Individuel,Indendørs,"ketcherspil, idræt, hurtigt spil på indendørs baner",,,
SUP,Vandsport,Individuel,Udendørs,"Stand Up Paddling, man står op og padler på et paddle board",,,
Styrkeløft,"Løb, fitness og styrke",Individuel,Indendørs,"træning og sport, individuel; squat, bænkpres og dødløft konkurrence",,,
Svømning,Vandsport,Både hold og individuel,Begge,vandsport (mange forskellige stilarter),,189977,
Taekwondo,Kampsport og selvforsvar,Individuel,Indendørs,"kampsport og kampkunst, kamp- og forsvarsteknikker",,,
Tai Chi,Kampsport og selvforsvar,Individuel,Begge,"kampkunst og aktiv mentaltræning, del af Qi Gong (selvstændig form)",,,
Tikamp,"Løb, fitness og styrke",Individuel,Udendørs,"sport, mangekamp med 10 atletikdiscipliner (løb, spring, stød, kast)",,,
Trampolin,"Løb, fitness og styrke",Individuel,Indendørs,"sport, en gymnastikdisciplin, dyrkes på store eller små trampoliner",,,
Triathlon,"Løb, fitness og styrke",Individuel,Udendørs,"multisport, svømning, cykling, løb: fra sprint- til langdistance",,,
Udspring,Vandsport,Individuel,Indendørs,"vandsport med gymnastiske elementer, 1, 3, 5, 7½, 10 m spring",,,
Vandgymnastik,Vandsport,Både hold og individuel,Indendørs,"motion i vand, elementer fra gymnastik og svømning",,,
Vandpolo,Vandsport,Hold,Indendørs,"Boldspil i vand, sport, minder lidt om håndbold, fysisk intensiv sport",,,
Vandski,Vandsport,Individuel,Udendørs,"Vandsport, på en eller to vandski; slalom, trick og hop. Og wakeboard.",,,
Voltigering,Friluft og motorsport,Både hold og individuel,Begge,"hestesport, blanding af gymnastik, akrobatik og ridning",,,
Vægtløftning,"Løb, fitness og styrke",Individuel,Indendørs,"styrke sport, individuel, træk og stød, teknisk og eksplosivt",,,
Windsurfing,Vandsport,Individuel,Udendørs,"vandsport, på bræt med sejl",,,
Yoga,"Løb, fitness og styrke",Individuel,Indendørs,"motion med flere dimensioner; livsstil, afstressning",,,
