,Gruppe,Navn,Svind,kJ,"kcal",Nitrogen-til-protein faktor,"Nitrogen, total","Protein","Protein, deklaration","Kulhydrat, difference ","Kulhydrat, tilgængelig","Kulhydrat",Sukker,Kostfibre,"Fedt",FCF,Alkohol,Aske,Tørstof,Vand,A-vitamin,Retinol,beta-caroten,D-vitamin,D3-vitamin,D2 ergocalciferol,25-hydroxy D3-vitamin,25-hydroxyergocalciferol,E-vitamin,alfa-tokoferol,gamma-tokoferol,delta-tokoferol,alfa-tokotrienol,K1-vitamin,B1-vitamin,thiamin,"B2-vitamin, riboflavin",Niacinækvivalent,Niacin,B6-vitamin,Pantothensyre,Biotin,Folat,Frit folat,B12-vitamin,C-vitamin,L-ascorbinsyre,L-dehydroascorbinsyre,"Svovl, S","Chlorid, Cl","Natrium, Na","Kalium, K","Calcium, Ca","Magnesium, Mg","Fosfor, P","Jern, Fe","Kobber, Cu","Zink, Zn","Jod, I","Mangan, Mn","Chrom, Cr","Selen, Se","Molybdæn, Mo","Cobolt, Co","Nikkel, Ni","Fluor, F","Silicium, Si","Rubidium, Rb","Aluminium, Al","Bor, B","Brom, Br","Kviksølv, Hg","Arsen, As",Arsen uorganisk,"Cadmium, Cd","Bly, Pb","Tin, Sn",L-mælkesyre,D-mælkesyre,"Mælkesyre, total",Citronsyre,Oxalsyre,Æblesyre,Benzoesyre,"Organiske syrer, tot.",Histamin,Tyramin,Phenylethylamin,Putrescin,Cadaverin,Spermin,Spermidin,Serotonin,Fruktose,Galaktose,Glukose,"Monosaccharider, total",Laktose,Maltose,Sakkarose,"Disaccharider, total",Raffinose,Andre sukkerarter,"Sukkerarter, ialt",Sorbitol,Inositol,Maltitol,"Sukkeralkoholer, total",Stivelse,IDF,SDFP,SDFS,Hexose,Pentose,Uronic Acid,Cellulose,Lignin,Crude fibre,Neutr.Det.Fibre (NDF),C4:0,C6:0,C8:0,C10:0,C12:0,C13:0,C14:0,C15:0,C16:0,C17:0,C18:0,C20:0,C21:0,C22:0,C23:0,C24:0,Andre mættede fedtsyrer,"C12:1,n-1","C14:1,n-5",C15:1,"C16:1,n-7","C17:1,n-7","C18:1,n-9","C18:1,n-7","C20:1,n-9","C20:1,n-11","C22:1,n-9","C22:1,n-11","C24:1,n-9",Andre monoumættede fedtsyrer,"C18:2,n-6","C18:2,conjugerede","C18:3,n-3 (ALA)","C18:3,n-6","C18:4,n-3","C20:2,n-6","C22:2,n-6","C22:4,n-6","C22:5,n-6","C20:3,n-3","C20:4,n-3","C20:3,n-6","C20:4,n-6","C20:5,n-3 (EPA)","C22:5,n-3","C22:6,n-3 (DHA)",Andre polyumættede,"C14:1,trans","C16:1,trans","C18:1,trans","C20:1,trans","C22:1,trans","C18:2,trans",Andre fedtsyrer,Sum mættede,Sum monoumættede,Sum polyumættede,"Transfedtsyrer, total","Fedtsyrer, total",Sum n-3 fedtsyrer,Sum n-6 fedtsyrer,Cholesterol,Isoleucin,Leucin,Lysin,Methionin,Cystin,Phenylalanin,Tyrosin,Threonin,Tryptofan,Valin,Arginin,Histidin,Alanin,Asparaginsyre,Glutaminsyre,Glycin,Prolin,Hydroxyprolin,Serin,Massefylde
770,Oksekød,"Oksekød, inderlår uden kappe, rå",0,472,112,6.25,3.568,22.3,22.3,0,0,0,0,0,2.5,0.94,0,1,25.8,74.2,0,0,0,0.4,0.4,iv,iv,iv,0.12,0.12,iv,iv,iv,0,0.055,iv,0.18,10.2,6.3,0.5,0.9,0,7,4,1.4,0,0,iv,iv,iv,60,350,3.99,22,202,2.4,0.09,4.7,0.8,0.011,4,6.5,0,iv,0.7,iv,iv,iv,iv,iv,iv,0.05,0.53,iv,0.9,2.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.23,2.35,0.003,0.23,0.84,2.58,iv,iv,0,iv,0,0,0,0,0,0,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.075,0.014,0.632,0.028,0.306,iv,iv,iv,iv,iv,iv,iv,0.035,iv,0.148,0.024,0.987,iv,iv,0,iv,iv,iv,iv,0.047,iv,0.031,iv,iv,iv,iv,iv,iv,0,iv,iv,0.024,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,1.055,1.193,0.102,iv,2.35,0.031,0.071,62,1070,1750,1890,571,150,892,749,963,232,1180,1360,785,1320,1960,3210,1110,892,iv,892,iv
771,Svinekød (Gris),"Grisemørbrad, afpudset, rå",6,484,115,6.25,3.397,21.2,21.2,0.1,0.1,0,0,0,3.3,0.92,0,1.2,25.8,74.2,0,0,0,0.505,0.075,iv,0.086,iv,0.1,0.1,iv,iv,iv,0,1.13,iv,0.245,8.05,4.2,0.381,0.79,2.6,2.3,iv,0.605,0,0,iv,iv,iv,100,480,8,25.3,220,1.02,0.1,1.83,1.1,0.014,2.1,10.4,0,iv,2.2,iv,iv,iv,iv,iv,iv,0.13,2,iv,0.04,0.2,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0,0,0,0,0,0,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,0,0,0,0,0.003,iv,0.044,iv,0.683,0.026,0.376,0,iv,0,iv,0.013,iv,iv,0,iv,0.065,iv,1.021,0,iv,0.024,0,0,0,iv,0.477,iv,0.03,iv,0,0.013,iv,iv,iv,0,iv,0.019,iv,0.011,0.019,0.01,iv,iv,iv,iv,iv,iv,iv,0.196,1.144,1.11,0.578,iv,3.028,0.07,0.508,58,1050,1600,1900,543,143,781,713,917,231,1160,1260,815,1220,1900,2820,985,781,iv,849,iv
772,Brød,"Knækbrød, hvede-, fint",0,1684,399,5.7,1.99,11.3,12.4,72,67.2,62.6,0,4.8,8.4,0.67,0,1.9,93.6,6.4,51.6,51,7,0,0,iv,iv,iv,1.4,1.4,iv,iv,iv,0,0.332,iv,0.105,2.45,4.8,0.16,iv,iv,84,iv,0,0,0,iv,140,690,394,147,116,64.8,199,1.92,0.26,1.51,1.9,3.5,3.9,2.3,10,7,52.7,100,13,470,2.1,150,200,0,0,iv,6.1,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.2,iv,0.4,0.6,iv,iv,1,1,iv,0,1.6,iv,iv,iv,iv,61,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0.015,iv,1.103,iv,0.062,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.671,3.553,iv,0.224,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,1.18,0.671,3.777,iv,5.628,0.224,3.553,0,498,836,557,219,141,557,259,458,147,716,617,279,577,915,2570,517,1100,iv,577,iv
773,Vildt,"Hare, rå",21,471,111,6.25,3.456,21.6,21.6,2,2,0,0,0,1.9,0.92,0,1.2,26.7,73.3,0,0,0,0,0,iv,iv,iv,0.1,0.1,iv,iv,iv,0,0.09,iv,0.06,12.1,8.07,0.3,0.8,0.1,10,4,1,0,0,iv,iv,iv,77,318,9.1,26,210,0.8,0.24,1.7,0.55,0.038,2,10,10,iv,0.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,0,iv,0.034,iv,0.377,0.029,0.164,0.004,iv,0.016,iv,0,iv,iv,0.004,iv,0.035,iv,0.185,0,iv,0,0,0,0,iv,0.342,iv,0.314,iv,0,0,iv,iv,iv,0.087,iv,0.01,iv,0.038,0.06,0.013,iv,iv,iv,iv,iv,iv,iv,0,0.625,0.224,0.865,iv,1.713,0.513,0.352,60,iv,iv,iv,iv,iv,iv,iv,iv,240,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
774,Ferskvandsfisk,"Ørred, regnbue-, rå",iv,607,145,iv,3.059,18.7,18.7,0,0,0,iv,iv,7.8,0.814,iv,1.3,27.8,72.2,19.5,19.5,iv,18.7,18.7,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,4.66,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,19.2,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.321,iv,0.986,iv,0.155,0.012,iv,iv,iv,iv,iv,iv,iv,iv,0.442,iv,0.925,0.158,iv,0.449,0.05,0.512,0.05,iv,0.255,iv,0.123,iv,0.145,iv,iv,iv,iv,iv,iv,iv,iv,0.35,0.105,0.949,iv,iv,iv,0.035,iv,iv,iv,0.327,1.474,2.586,1.926,0.035,6.349,1.672,0.255,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
775,Krydderier,"Koriander, frø",0,1425,346,6.25,1.979,12.4,12.4,55,13.1,13.1,0,41.9,17.8,0.918,0,6,91.1,8.9,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.239,iv,0.29,2.13,2.13,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,35,1270,709,330,409,16.3,iv,4.7,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.02,iv,0.811,iv,0.11,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.1,iv,13.519,iv,iv,iv,iv,iv,iv,iv,1.752,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.941,13.619,1.752,iv,16.313,iv,1.752,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
776,Indmad,"Hjerte, høne (kylling), råt",0,622,149,6.25,2.488,15.6,15.6,0.7,0.7,0.7,0,0,9.3,0.83,0,0.8,26.4,73.6,9,9,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.306,iv,0.728,8.2,4.88,0.234,2.56,iv,45,iv,7.29,3.2,3.2,iv,iv,iv,64,177,12,17,177,5.96,0.346,6.59,iv,0.089,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0.7,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0,0,iv,0.063,iv,1.525,iv,0.823,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.41,iv,2.083,iv,iv,0,0,iv,iv,iv,2.009,iv,0.074,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.757,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,2.411,2.493,2.84,iv,7.744,0.074,2.766,136,821,1340,1290,373,211,697,547,697,199,871,995,398,970,1520,2310,871,796,iv,622,iv
777,Svinekød (Gris),"Grisekød, uspec., magert, råt",10,482,114,6.25,3.52,21.8,21.8,0,0,0,0,0,3,0.92,0,1.3,26.1,73.9,0,0,0,0.496,0.071,iv,0.085,iv,0.1,0.1,iv,iv,iv,0,1.07,iv,0.31,8.19,4.2,0.4,0.79,2.6,2.1,iv,0.65,0,0,iv,iv,iv,100,480,9,33,276,1.07,0.1,3.6,1,0.014,5.3,5.8,0,iv,2.5,iv,iv,iv,iv,iv,iv,0.13,2,iv,1.9,6.2,iv,iv,iv,iv,iv,iv,iv,iv,iv,1.1,1.1,iv,0.45,0.13,0.13,1.45,iv,0,iv,0,0,0,0,0,0,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.045,0,0.761,0,0.387,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.096,0,1.231,iv,iv,0.019,iv,iv,iv,iv,0.204,iv,0.017,iv,iv,iv,iv,iv,iv,0,iv,iv,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,1.193,1.345,0.222,iv,2.76,0.017,0.204,60,1090,1650,1970,563,148,810,739,950,239,1200,1300,845,1270,1970,2920,1020,810,iv,880,iv
778,Fiskeprodukter,"Torsk, rogn, rå",0,508,120,6.25,3.718,23.2,23.2,1.1,1.1,1.5,0,0,2.6,0.59,0,1.5,28.3,71.7,27.8,27.8,0,5.2,5.2,iv,0,iv,10.3,10.3,iv,iv,iv,0,0.765,iv,0.655,5.49,1.15,0.262,4.45,15,22,iv,19.5,19.3,19.3,iv,iv,iv,101,272,8,13.1,403,0.92,0.117,4.46,195,0.109,0.159,105,iv,iv,0.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,1.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,iv,0.023,0.007,0.294,iv,0.038,0,iv,0,iv,0,iv,iv,iv,iv,0.055,iv,0.172,0.058,0.018,iv,0,0.003,0.017,iv,0.016,iv,0.006,iv,0.002,0,iv,iv,iv,iv,0,0,0.053,0.221,0.019,0.452,iv,iv,iv,iv,iv,iv,iv,0.067,0.362,0.323,0.769,iv,1.52,0.699,0.069,323,1300,1970,1820,558,193,855,930,855,260,1490,1190,483,1530,1790,2570,781,1230,iv,1410,iv
781,Indmad,"Lever, gris, rå",5,516,122,6.25,3.369,21.1,21.1,1.9,1.9,3,0,0,3.4,0.73,0,1.6,28,72,14100,14100,11,0.2,0.2,iv,iv,iv,0.2,0.2,iv,iv,iv,30,0.3,iv,2.95,20.9,16,0.665,6.4,44,1000,59,40,25,25,iv,iv,iv,80,271,6.48,18,369,13.4,1.01,6.78,3.1,0.39,2.71,47.6,200,iv,1.59,iv,iv,iv,iv,iv,iv,0.254,1.5,iv,4.12,0.695,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,3,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,0,iv,0.018,iv,0.371,0.01,0.631,0,iv,0.003,iv,0,iv,iv,0,iv,0.018,iv,0.359,0,iv,0.007,0,0,0,iv,0.317,iv,0.01,iv,0.015,0,iv,iv,iv,0,iv,0.034,iv,0.021,0.093,0.07,iv,iv,iv,iv,iv,iv,iv,0.497,1.033,0.384,0.561,iv,2.475,0.211,0.351,300,977,1790,1680,472,232,1040,775,977,296,1280,1250,539,1210,1790,2630,1180,1040,iv,943,iv
782,Blad- og stængelgrøntsager,"Blomkål, dybfrost",0,115,27,6.25,0.322,2,2,4.7,3.7,3.7,0,1,0.3,0.7,0,0.5,7.5,92.5,1.5,0,18,0,0,iv,iv,iv,iv,iv,iv,iv,iv,16,0.051,iv,0.07,0.864,0.429,0.123,0.136,iv,64,iv,0,48.8,48.8,iv,iv,iv,24,193,22,12,48.1,0.54,0.031,0.17,iv,0.197,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,1,iv,0,0,0,0,0,iv,0,iv,0.036,iv,0.005,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0.019,iv,iv,0,0,iv,iv,iv,0.029,iv,0.099,iv,0,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.041,0.019,0.128,iv,0.189,0.099,0.029,0,77,119,109,28,23,71,45,74,26,103,97,42,106,238,270,64,87,iv,106,iv
783,Fiskeprodukter,"Krabbekløer, rå",25,473,112,6.25,3.664,22.9,22.9,1,1,0,0,0,1.8,0.7,0,1.9,27.6,72.4,650,650,0,0,0,iv,iv,iv,2.4,2.4,iv,iv,iv,0,0.05,iv,0.395,5.97,1.7,0.3,0.71,0,20,3,13.5,0,0,iv,iv,iv,215,152,120,51,220,3.5,0.44,11.9,60,iv,5.6,82,iv,iv,5.2,iv,iv,iv,iv,iv,iv,7.5,2870,iv,0.4,13.2,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0.021,0.01,0.135,0.017,0.063,0,iv,0,iv,iv,iv,iv,0,iv,0.073,0,0.22,iv,iv,0.051,0.057,iv,iv,iv,0.047,iv,0.068,iv,iv,iv,iv,iv,iv,0,iv,iv,0.009,0.316,0.021,0.15,iv,iv,iv,iv,iv,iv,iv,iv,0.247,0.402,0.611,iv,1.26,0.555,0.056,78,1060,1980,1800,660,293,916,843,1060,256,1100,1910,440,1540,2490,3590,1500,989,iv,1170,iv
784,Fiskeprodukter,"Krabbekløer, konserves",0,473,112,6.25,3.664,22.9,22.9,1,1,1.1,0,0,1.8,0.7,0,1.9,27.6,72.4,650,650,0,0,0,iv,iv,iv,2.4,2.4,iv,iv,iv,0,0.05,iv,0.395,5.97,1.7,0.3,0.71,0,20,3,13.5,0,0,iv,iv,iv,1000,110,120,32,220,3.5,0.44,11.9,60,iv,4.88,31,iv,iv,3.2,iv,iv,iv,iv,iv,iv,5.92,611,iv,14.8,3.82,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,1.1,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0.021,0.01,0.135,0.017,0.063,0,iv,0,iv,iv,iv,iv,0,iv,0.073,0,0.22,iv,iv,0.051,0.057,iv,iv,iv,0.047,iv,0.068,iv,iv,iv,iv,iv,iv,0,iv,iv,0.009,0.316,0.021,0.15,iv,iv,iv,iv,iv,iv,iv,iv,0.247,0.402,0.611,iv,1.26,0.555,0.056,78,1060,1980,1800,660,293,916,843,1060,256,1100,1910,440,1540,2490,3590,1500,989,iv,1170,iv
785,Kalkun,"Kalkun, kød og skind, rå",30,528,126,6.25,3.232,20.2,20.2,0,0,0,0,0,5,0.945,0,1.2,26.4,73.6,2,2,0,0,0,iv,iv,iv,0.5,0.5,iv,iv,iv,0,0.064,iv,0.155,7.53,4.09,0.41,0.75,2,10,5,1,0,0,iv,iv,iv,93,230,10,21,150,0.8,0.136,1.35,1.5,0.011,1,24,0,iv,0.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0,0,0,0,0,0,iv,0,0,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.052,0,1.199,0.019,0.477,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.246,0,1.04,iv,iv,0.019,iv,iv,iv,iv,0.969,iv,0.052,iv,iv,iv,iv,iv,iv,0,iv,iv,0.246,0.071,0.09,0.246,iv,iv,iv,iv,iv,iv,iv,iv,1.747,1.304,1.673,iv,4.725,0.459,1.214,64,905,1390,1710,517,129,743,582,808,207,1100,1230,614,1130,1710,2590,1100,873,iv,776,iv
786,Brød,Grovfranskbrød,0,1096,259,5.7,1.463,8.3,9.1,51.3,47,42.8,0,4.2,3.3,0.858,0,1.7,64.6,35.4,0,0,0,0,0,iv,iv,iv,0.5,0.5,iv,iv,0.1,0,0.167,iv,0.121,1.46,1,0.1,0.5,1.9,30.8,iv,0,0,0,iv,iv,iv,399,172,26,33.6,165,1.39,0.22,0.838,iv,0.6,6.8,3.72,0,iv,14.5,iv,iv,iv,iv,iv,iv,0.22,0.24,iv,4.41,0.6,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.2,iv,0.2,0.4,iv,iv,0.1,0.1,iv,0,0.5,iv,iv,iv,iv,42.3,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,iv,0.021,iv,0.655,iv,0.088,0.008,iv,0.014,iv,iv,iv,iv,iv,iv,0,iv,1.115,0.054,iv,0.019,iv,iv,iv,iv,0.699,iv,0.121,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0.786,1.188,0.82,0,2.794,0.121,0.699,iv,366,629,205,136,161,439,205,249,88,424,336,190,278,410,2690,351,966,iv,439,iv
787,Andre sukkervarer,Marcipan,0,1997,478,5.18,2.124,11,13.3,50.4,47.4,42,40,3,26.5,0.8,0,1.3,89.2,10.8,12.5,12,6,0,0,iv,iv,iv,12,12,iv,iv,iv,iv,0.11,iv,0.35,5.55,1.6,iv,0.3,0.3,60,20,0,0,0,iv,iv,iv,33,270,59,140,240,1.9,0.45,1.5,0.1,1.5,8,1,iv,iv,32,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.1,2,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,42,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,iv,0,iv,iv,1.445,iv,0.386,iv,0,iv,iv,iv,iv,0,0,0,0.102,iv,13.821,0.266,iv,iv,0,0,0,iv,5.133,iv,iv,0,0,0,iv,0,0,0,iv,0,0,iv,0,0,iv,0,0,0,0,0,iv,0.047,1.83,14.189,5.133,0,21.2,0,5.133,0,853,1580,666,187,284,1210,691,663,237,1010,2570,574,1030,2690,6110,1500,986,iv,941,iv
790,Brød,"Hvedebrød, kastanjebrød",0,1091,258,5.7,1.396,8,8.7,49.8,45.1,44.3,0,4.7,4.1,0.7,0,1.7,63.5,36.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.238,iv,0.125,1.51,iv,0.147,iv,iv,58,iv,iv,iv,iv,iv,iv,iv,392,187,60.4,33.2,195,1.58,iv,0.802,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,0,iv,0.133,iv,0.593,0,0.182,0.028,iv,0.022,iv,0.008,iv,iv,0,iv,0.15,iv,0.6,0,iv,0.038,0,0,0.009,iv,0.845,iv,0.178,iv,0,0,iv,iv,iv,0.05,iv,0,iv,0,0,0,iv,iv,iv,iv,iv,iv,iv,0.036,0.966,0.797,1.074,iv,2.873,0.229,0.845,iv,335,600,195,127,140,419,181,223,91,391,307,181,265,349,2720,293,935,iv,419,iv
791,Frugtsaft og juice,"Hyldebærsaft, sød, koncentreret",0,931,219,6.25,0.08,0.5,0.5,53.2,53.2,53.2,41,0,0.5,0.7,0,0.2,54.4,45.6,0,0,iv,0,0,iv,iv,iv,0,0,iv,iv,iv,iv,iv,iv,iv,0.2,iv,iv,iv,iv,iv,iv,0,8,8,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,43,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.026,iv,0.007,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.029,iv,iv,iv,iv,iv,iv,iv,0.157,iv,0.131,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.033,0.029,0.288,iv,0.35,0.131,0.157,0,21,46,20,10,11,30,38,21,12,25,36,11,22,44,73,27,19,iv,24,iv
793,Krydderier,"Fennikel, frø",0,1350,327,6.25,2.528,15.8,15.8,52.3,12.5,12.5,0,39.8,14.9,0.765,0,8.2,91.2,8.8,7,0,84,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0,0.408,iv,0.353,10.3,6.05,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,88,1690,1200,385,487,18.5,iv,3.7,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.449,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,9.33,iv,iv,iv,iv,iv,iv,iv,1.597,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.449,9.33,1.597,iv,11.376,iv,1.597,0,683,986,758,303,222,657,404,607,253,910,683,329,784,1850,2960,1110,910,iv,910,iv
